# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_structure_texture_far.bag'
# timestamp tx ty tz qx qy qz qw
1341839113.7770 -1.3820 2.3257 1.1232 0.3262 0.7504 -0.5255 -0.2332
1341839113.7869 -1.3818 2.3256 1.1231 0.3256 0.7507 -0.5254 -0.2333
1341839113.7969 -1.3815 2.3254 1.1230 0.3252 0.7508 -0.5255 -0.2333
1341839113.8069 -1.3813 2.3251 1.1229 0.3245 0.7506 -0.5261 -0.2333
1341839113.8169 -1.3819 2.3252 1.1232 0.3216 0.7514 -0.5264 -0.2344
1341839113.8269 -1.3816 2.3250 1.1232 0.3213 0.7515 -0.5265 -0.2341
1341839113.8369 -1.3814 2.3248 1.1231 0.3211 0.7517 -0.5264 -0.2339
1341839113.8482 -1.3811 2.3247 1.1229 0.3210 0.7519 -0.5262 -0.2338
1341839113.8578 -1.3810 2.3245 1.1228 0.3212 0.7519 -0.5260 -0.2341
1341839113.8669 -1.3810 2.3244 1.1226 0.3215 0.7520 -0.5256 -0.2342
1341839113.8769 -1.3813 2.3243 1.1226 0.3218 0.7519 -0.5255 -0.2346
1341839113.8869 -1.3811 2.3242 1.1226 0.3222 0.7520 -0.5251 -0.2344
1341839113.8976 -1.3803 2.3237 1.1221 0.3256 0.7512 -0.5249 -0.2327
1341839113.9070 -1.3803 2.3236 1.1221 0.3261 0.7513 -0.5247 -0.2324
1341839113.9169 -1.3803 2.3235 1.1221 0.3264 0.7512 -0.5248 -0.2318
1341839113.9277 -1.3803 2.3232 1.1221 0.3266 0.7507 -0.5255 -0.2316
1341839113.9369 -1.3803 2.3229 1.1221 0.3266 0.7506 -0.5258 -0.2314
1341839113.9469 -1.3802 2.3227 1.1219 0.3265 0.7508 -0.5256 -0.2312
1341839113.9570 -1.3801 2.3225 1.1218 0.3261 0.7511 -0.5254 -0.2313
1341839113.9669 -1.3801 2.3224 1.1217 0.3254 0.7515 -0.5252 -0.2315
1341839113.9769 -1.3799 2.3222 1.1216 0.3250 0.7523 -0.5241 -0.2317
1341839113.9869 -1.3798 2.3220 1.1215 0.3242 0.7527 -0.5238 -0.2320
1341839113.9970 -1.3798 2.3218 1.1213 0.3239 0.7527 -0.5239 -0.2323
1341839114.0069 -1.3797 2.3216 1.1213 0.3237 0.7528 -0.5241 -0.2321
1341839114.0169 -1.3797 2.3214 1.1212 0.3233 0.7526 -0.5247 -0.2320
1341839114.0272 -1.3796 2.3212 1.1212 0.3233 0.7525 -0.5251 -0.2316
1341839114.0369 -1.3796 2.3210 1.1211 0.3235 0.7525 -0.5250 -0.2312
1341839114.0470 -1.3796 2.3208 1.1210 0.3238 0.7526 -0.5248 -0.2309
1341839114.0569 -1.3797 2.3206 1.1209 0.3242 0.7529 -0.5241 -0.2310
1341839114.0669 -1.3794 2.3205 1.1206 0.3245 0.7536 -0.5231 -0.2306
1341839114.0769 -1.3794 2.3202 1.1204 0.3250 0.7539 -0.5224 -0.2305
1341839114.0869 -1.3794 2.3200 1.1203 0.3254 0.7544 -0.5216 -0.2301
1341839114.0970 -1.3794 2.3197 1.1201 0.3257 0.7548 -0.5210 -0.2297
1341839114.1069 -1.3792 2.3195 1.1200 0.3257 0.7552 -0.5207 -0.2292
1341839114.1169 -1.3792 2.3192 1.1198 0.3253 0.7554 -0.5205 -0.2292
1341839114.1290 -1.3791 2.3190 1.1198 0.3248 0.7555 -0.5208 -0.2293
1341839114.1369 -1.3789 2.3188 1.1197 0.3240 0.7556 -0.5210 -0.2296
1341839114.1470 -1.3788 2.3185 1.1195 0.3231 0.7553 -0.5217 -0.2302
1341839114.1570 -1.3785 2.3183 1.1193 0.3223 0.7556 -0.5215 -0.2307
1341839114.1686 -1.3782 2.3180 1.1191 0.3217 0.7559 -0.5213 -0.2311
1341839114.1769 -1.3782 2.3177 1.1192 0.3207 0.7562 -0.5213 -0.2314
1341839114.1870 -1.3778 2.3174 1.1189 0.3205 0.7572 -0.5201 -0.2312
1341839114.1971 -1.3771 2.3172 1.1185 0.3203 0.7581 -0.5190 -0.2308
1341839114.2080 -1.3775 2.3172 1.1188 0.3176 0.7591 -0.5189 -0.2316
1341839114.2169 -1.3771 2.3170 1.1187 0.3177 0.7592 -0.5189 -0.2314
1341839114.2270 -1.3758 2.3165 1.1182 0.3208 0.7580 -0.5192 -0.2299
1341839114.2369 -1.3752 2.3164 1.1179 0.3214 0.7576 -0.5195 -0.2298
1341839114.2469 -1.3750 2.3163 1.1179 0.3220 0.7569 -0.5201 -0.2300
1341839114.2570 -1.3749 2.3163 1.1180 0.3214 0.7571 -0.5198 -0.2307
1341839114.2670 -1.3743 2.3161 1.1176 0.3217 0.7574 -0.5192 -0.2306
1341839114.2769 -1.3739 2.3157 1.1175 0.3220 0.7576 -0.5187 -0.2310
1341839114.2872 -1.3734 2.3154 1.1174 0.3224 0.7580 -0.5177 -0.2311
1341839114.2970 -1.3731 2.3148 1.1173 0.3236 0.7573 -0.5183 -0.2305
1341839114.3070 -1.3725 2.3145 1.1170 0.3229 0.7577 -0.5183 -0.2303
1341839114.3169 -1.3720 2.3141 1.1168 0.3226 0.7575 -0.5187 -0.2303
1341839114.3279 -1.3712 2.3140 1.1166 0.3203 0.7589 -0.5181 -0.2305
1341839114.3370 -1.3707 2.3135 1.1165 0.3197 0.7588 -0.5186 -0.2305
1341839114.3470 -1.3693 2.3129 1.1160 0.3214 0.7584 -0.5186 -0.2294
1341839114.3569 -1.3691 2.3124 1.1162 0.3211 0.7577 -0.5197 -0.2295
1341839114.3680 -1.3685 2.3122 1.1159 0.3209 0.7578 -0.5194 -0.2303
